,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Jae'Sean Tate,2.0,4.1,0.6,0.8,0.5,5.1,3.7,1.1,0.7,0.2,0.5
Aaron Holiday,2.4,5.6,0.6,0.7,1.3,6.7,1.9,1.6,0.5,0.1,0.8
Jeff Green,2.2,4.0,1.9,2.3,0.4,6.7,2.0,0.8,0.1,0.4,0.7
Amen Thompson,2.0,4.7,1.1,1.7,0.2,5.3,3.3,1.9,0.8,0.2,1.1
Jordan Nwora,4.1,8.4,1.0,1.1,1.2,10.5,3.6,1.9,0.6,0.1,1.4
Obi Toppin,9.2,15.6,2.4,3.1,2.8,23.6,8.1,3.1,1.0,1.1,1.5
Jarace Walker,2.5,5.7,1.0,1.2,0.8,6.8,2.2,2.2,0.7,0.5,0.7
Isaiah Jackson,5.8,8.4,2.8,4.0,0.0,14.4,8.4,1.8,1.3,2.7,1.4
Daniel Theis,2.6,5.0,1.0,1.3,0.4,6.5,3.5,0.9,0.5,0.9,0.6
P.J. Tucker,0.4,1.3,0.2,0.2,0.3,1.3,2.9,0.5,0.6,0.2,0.3
Russell Westbrook,4.4,9.6,1.4,2.2,0.6,10.8,5.8,4.5,1.1,0.4,2.2
Amir Coffey,1.7,3.2,0.5,0.6,0.5,4.4,1.6,0.7,0.3,0.0,0.4
Terance Mann,2.8,6.5,0.8,1.1,0.9,7.3,3.2,1.8,0.7,0.3,0.7
Bones Hyland,2.6,6.7,0.6,0.8,1.2,7.1,0.9,1.8,0.5,0.1,1.2
Kobe Brown,0.9,2.2,0.0,0.1,0.4,2.2,1.4,0.6,0.2,0.1,0.2
Christian Wood,2.6,5.4,1.3,2.0,0.8,7.4,5.6,1.0,0.2,0.7,1.2
Skylar Mays,2.6,6.5,0.6,0.8,0.7,6.6,1.7,3.5,0.7,0.1,0.8
Jarred Vanderbilt,1.2,3.2,0.3,0.6,0.1,2.7,4.4,1.0,0.7,0.2,0.6
Jaxson Hayes,1.3,1.9,0.5,0.9,0.0,3.0,1.8,0.3,0.2,0.4,0.6
Rui Hachimura,4.5,9.2,1.5,2.0,1.1,11.6,3.6,1.1,0.7,0.2,0.8
Cam Reddish,2.3,6.0,1.1,1.3,0.9,6.7,2.5,1.4,1.2,0.2,0.9
Max Christie,2.0,4.8,0.7,0.9,0.7,5.3,3.1,1.1,0.4,0.3,0.8
Bismack Biyombo,2.2,4.0,0.7,1.5,0.0,5.2,6.4,1.7,0.3,1.1,1.3
John Konchar,1.1,3.0,0.3,0.4,0.6,3.1,3.8,1.3,0.7,0.7,0.4
Santi Aldama,3.9,9.0,1.0,1.6,1.6,10.4,5.5,1.7,0.7,0.7,1.1
David Roddy,2.9,7.0,0.9,1.3,0.9,7.6,3.7,1.3,0.5,0.3,0.9
Jacob Gilyard,1.2,3.0,0.0,0.0,1.1,3.6,1.0,3.2,0.5,0.1,0.7
Ziaire Williams,2.9,7.0,1.0,1.2,1.2,8.0,3.5,1.3,0.5,0.2,1.2
Josh Richardson,7.2,16.1,2.8,3.0,2.9,20.0,5.4,5.9,1.2,0.6,2.0
Thomas Bryant,4.0,7.2,1.7,2.0,0.0,9.7,7.1,1.2,0.6,0.5,1.5
Kevin Love,6.4,14.1,4.1,5.3,3.4,20.3,13.4,5.2,0.8,0.3,1.5
Caleb Martin,8.4,18.9,2.8,3.9,2.5,22.0,10.0,4.5,1.6,0.5,2.6
Haywood Highsmith,4.6,10.9,1.3,1.7,2.4,12.9,6.3,2.8,2.1,1.1,1.7
Nikola Jovic,4.3,10.0,1.7,2.8,2.5,12.8,9.3,5.0,1.0,0.7,1.8
Jamal Cain,4.1,9.4,2.0,2.7,1.1,11.4,4.1,0.4,1.3,0.6,0.6
Orlando Robinson,4.1,7.9,1.5,2.1,0.9,10.7,7.9,3.2,0.7,0.9,1.7
Pat Connaughton,1.9,4.5,0.4,0.5,1.2,5.4,3.5,1.8,0.4,0.2,0.6
Cameron Payne,2.1,4.6,0.8,0.9,1.1,6.1,1.2,2.4,0.4,0.1,0.8
MarJon Beauchamp,1.9,4.0,0.4,0.6,0.8,5.0,2.5,0.8,0.3,0.2,0.7
Andre Jackson Jr.,0.9,1.9,0.2,0.2,0.4,2.5,1.8,1.0,0.3,0.1,0.5
AJ Green,1.2,2.5,0.1,0.1,1.0,3.4,0.8,0.6,0.0,0.0,0.0
Kyle Anderson,2.6,5.5,1.4,2.0,0.1,6.6,3.7,3.8,0.8,0.7,1.5
Troy Brown Jr.,1.5,3.4,0.6,0.7,0.9,4.5,2.1,1.0,0.2,0.1,0.5
Shake Milton,1.8,4.3,1.1,1.4,0.4,5.0,1.4,1.3,0.4,0.1,0.8
Jordan McLaughlin,0.9,2.2,0.2,0.2,0.4,2.4,0.8,1.8,0.7,0.2,0.2
Nickeil Alexander-Walker,2.3,5.6,0.4,0.6,1.3,6.4,1.8,2.4,0.9,0.6,1.0
Naji Marshall,2.8,6.0,1.6,1.9,0.9,8.0,3.8,2.1,0.7,0.2,1.1
Jeremiah Robinson-Earl,1.6,2.9,0.4,0.4,0.5,4.1,2.6,0.6,0.2,0.2,0.5
Jose Alvarado,2.5,6.0,0.7,1.2,1.3,7.0,2.3,1.9,1.0,0.4,0.9
Dyson Daniels,2.3,5.4,0.7,1.2,0.7,6.1,3.8,2.7,1.4,0.3,0.9
Jordan Hawkins,3.3,8.5,1.4,1.6,2.0,10.1,2.7,1.4,0.3,0.1,0.7
Precious Achiuwa,2.8,6.1,0.8,1.4,0.5,6.9,5.2,1.5,0.6,0.5,1.1
Malachi Flynn,1.6,4.1,0.6,0.7,0.8,4.7,1.9,2.1,0.5,0.2,1.0
Josh Hart,2.8,6.4,0.7,0.9,0.9,7.3,6.2,2.8,0.8,0.2,1.2
Miles McBride,1.2,2.7,0.2,0.2,0.8,3.3,0.4,0.8,0.3,0.0,0.1
Isaiah Joe,3.1,6.8,0.8,0.9,2.2,9.1,2.2,1.1,0.6,0.3,0.6
Kenrich Williams,1.8,3.8,0.1,0.4,0.8,4.5,2.7,1.6,0.5,0.1,0.4
Davis Bertans,0.8,2.0,1.2,1.2,0.8,3.4,0.8,0.7,0.2,0.2,0.1
Vasilije Micic,1.1,3.1,0.4,0.5,0.4,2.9,0.7,3.1,0.4,0.2,0.7
Luguentz Dort,3.7,8.1,1.8,2.2,1.8,11.1,3.9,1.4,0.9,0.8,0.9
Aaron Wiggins,1.9,3.3,0.6,0.8,0.5,4.9,2.2,0.7,0.4,0.1,0.5
Ousmane Dieng,1.6,3.7,0.5,0.6,0.8,4.6,1.8,1.0,0.1,0.0,0.4
Jaylin Williams,1.2,3.1,0.5,0.5,0.7,3.5,3.2,1.4,0.4,0.2,0.4
Cason Wallace,2.6,5.1,0.5,0.6,1.1,6.9,2.2,1.5,0.6,0.5,0.5
Tre Mann,1.5,3.1,0.1,0.1,0.6,3.8,1.8,1.5,0.2,0.0,0.7
Markelle Fultz,3.8,8.4,0.5,1.2,0.0,8.0,3.1,3.6,1.1,0.4,1.1
Jonathan Isaac,2.3,5.0,1.2,1.5,0.6,6.4,4.1,0.3,0.9,1.2,0.6
Trevelin Queen,1.3,3.8,0.7,0.8,0.5,3.8,2.0,1.8,1.0,0.3,0.7
Joe Ingles,1.7,4.2,0.7,0.8,1.1,5.2,2.6,3.5,0.8,0.1,0.9
Chuma Okeke,1.0,2.8,0.0,0.1,0.7,2.8,2.5,0.7,0.1,0.2,0.4
Anthony Black,1.9,3.9,0.6,1.0,0.5,4.9,2.5,1.8,0.7,0.4,1.0
Furkan Korkmaz,0.7,1.8,0.3,0.4,0.3,2.0,0.5,0.5,0.5,0.0,0.3
Danuel House Jr.,1.1,2.7,0.7,0.9,0.5,3.4,1.3,0.8,0.3,0.0,0.6
KJ Martin,0.8,1.7,0.2,0.4,0.0,1.8,0.8,0.5,0.4,0.0,0.2
Mo Bamba,1.6,3.0,0.6,0.9,0.4,4.2,3.0,0.5,0.4,0.8,0.6
Nicolas Batum,2.0,3.9,0.3,0.5,1.3,5.8,3.7,2.2,0.6,0.8,0.6
Marcus Morris Sr.,2.2,5.1,0.8,0.9,1.0,6.3,2.7,0.8,0.4,0.3,0.4
Patrick Beverley,1.8,4.2,0.9,1.1,0.6,5.2,2.9,2.4,0.5,0.3,0.8
Jaden Springer,1.1,3.2,0.5,0.8,0.2,3.0,1.4,0.9,0.5,0.4,0.8
Josh Okogie,1.7,4.2,1.8,2.4,0.5,5.7,2.8,1.3,1.0,0.5,0.7
Keita Bates-Diop,1.6,4.3,0.9,1.2,0.5,4.7,2.8,0.9,0.6,0.5,0.2
Chimezie Metu,2.0,4.0,1.2,1.3,0.5,5.8,3.0,0.5,0.6,0.2,0.8
Drew Eubanks,2.3,3.9,1.2,1.5,0.1,5.8,4.3,0.9,0.3,0.9,1.1
Yuta Watanabe,1.2,3.7,0.4,0.6,0.9,3.8,1.7,0.4,0.3,0.3,0.6
Eric Gordon,4.9,10.8,0.8,1.1,2.6,13.2,2.1,2.3,0.9,0.5,1.3
Nassir Little,1.9,3.8,0.7,0.8,0.7,5.1,2.5,0.7,0.4,0.3,0.5
Bol Bol,1.4,1.9,0.3,0.4,0.2,3.4,2.2,0.5,0.2,0.5,0.5
Jordan Goodwin,2.0,5.3,0.7,0.8,0.7,5.3,3.4,2.2,0.6,0.2,0.8
Matisse Thybulle,2.0,4.7,0.3,0.4,1.4,5.6,2.1,1.0,1.6,0.9,0.5
Shaedon Sharpe,5.5,13.6,3.1,3.7,1.9,15.9,5.0,2.9,0.9,0.4,2.2
Duop Reath,3.3,7.3,1.1,1.4,1.4,9.0,4.0,1.0,0.5,0.5,0.8
Toumani Camara,2.7,6.5,1.0,1.5,0.9,7.2,5.0,0.9,1.0,0.6,1.3
Kris Murray,1.3,3.5,0.4,0.5,0.5,3.4,2.0,0.6,0.8,0.1,0.3
Kevin Huerter,3.6,8.6,0.7,0.9,1.7,9.5,3.6,2.5,0.6,0.3,0.6
Alex Len,1.1,1.7,0.3,0.7,0.0,2.6,3.6,1.3,0.2,0.6,0.5
Sasha Vezenkov,2.0,4.8,0.2,0.3,1.0,5.3,2.7,0.4,0.4,0.2,0.3
JaVale McGee,1.9,3.0,0.8,1.2,0.0,4.5,3.0,0.4,0.2,0.6,1.0
Harrison Barnes,3.6,7.6,1.8,2.3,1.7,10.8,2.9,1.2,0.7,0.2,0.7
Trey Lyles,2.5,5.4,0.8,1.3,1.6,7.4,4.9,1.3,0.1,0.3,0.7
Keon Ellis,1.3,3.1,0.4,0.6,1.0,4.0,1.4,1.3,0.5,0.4,0.6
Davion Mitchell,1.3,3.6,0.4,0.5,0.5,3.5,0.9,1.7,0.2,0.1,0.5
Chris Duarte,1.3,3.7,0.5,0.7,0.6,3.8,1.9,0.9,0.5,0.1,0.6
Doug McDermott,2.2,4.7,0.3,0.5,1.8,6.4,1.1,1.3,0.3,0.1,0.5
Tre Jones,3.5,7.2,1.2,1.4,0.5,8.6,2.9,5.0,0.8,0.2,1.4
Cedi Osman,2.9,6.0,0.8,1.1,1.2,7.7,2.6,1.9,0.5,0.1,0.6
Sandro Mamukelashvili,0.9,2.2,0.5,0.7,0.3,2.6,1.9,1.1,0.1,0.3,0.4
Jeremy Sochan,4.3,9.7,1.5,2.0,0.9,11.0,5.5,3.9,0.6,0.3,2.0
Malaki Branham,3.5,8.2,0.6,0.6,1.0,8.7,2.1,2.5,0.4,0.1,1.3
Dominick Barlow,1.4,3.1,0.6,1.0,0.1,3.5,2.9,0.9,0.4,0.5,0.2
Julian Champagnie,1.7,4.4,0.8,0.9,1.3,5.5,1.9,0.9,0.6,0.5,0.7
Gary Trent Jr.,4.1,10.1,0.8,1.2,2.2,11.3,2.2,1.6,0.8,0.1,0.6
Thaddeus Young,1.5,2.5,0.1,0.3,0.1,3.1,1.6,1.5,0.6,0.1,0.6
Jontay Porter,1.8,4.5,0.7,0.7,0.7,5.0,3.5,2.3,0.7,0.7,0.7
Jalen McDaniels,1.1,3.3,0.6,0.8,0.3,3.1,1.3,0.6,0.4,0.1,0.3
Kris Dunn,2.1,4.5,0.3,0.5,0.5,5.0,2.9,4.1,0.9,0.5,1.2
Omer Yurtseven,1.7,3.3,0.3,0.4,0.1,3.7,4.4,0.6,0.2,0.4,1.0
Talen Horton-Tucker,4.1,10.0,1.6,2.0,1.2,11.0,2.5,4.2,1.1,0.4,1.7
Ochai Agbaji,2.4,5.4,0.3,0.4,1.1,6.1,2.6,1.0,0.6,0.5,0.7
Simone Fontecchio,3.2,7.2,0.7,0.9,1.8,9.0,3.1,1.3,0.6,0.4,1.1
Taylor Hendricks,1.8,4.5,0.5,0.6,0.9,4.9,2.2,0.5,0.7,0.5,0.7
Landry Shamet,2.8,6.2,0.7,1.0,1.3,7.6,1.3,1.4,0.6,0.3,0.7
Mike Muscala,1.4,3.8,0.6,0.8,0.6,4.0,3.1,0.9,0.2,0.3,0.7
Danilo Gallinari,2.2,5.0,1.8,2.2,0.8,7.0,2.9,1.2,0.2,0.1,0.5
Delon Wright,1.5,4.1,1.1,1.4,0.4,4.6,2.2,3.3,1.4,0.2,0.6
Jared Butler,1.6,2.9,0.7,0.9,0.6,4.6,0.6,1.8,0.5,0.1,0.6
Eugene Omoruyi,1.7,2.9,0.8,1.1,0.3,4.5,1.5,0.6,0.5,0.1,0.5
Ryan Rollins,1.3,2.5,1.3,1.7,0.2,4.1,1.1,1.1,0.8,0.3,0.7
Bilal Coulibaly,3.1,6.4,1.1,1.8,1.1,8.3,4.2,1.8,0.9,0.8,1.4
Corey Kispert,4.1,8.6,1.4,1.9,2.0,11.7,2.1,1.5,0.3,0.2,1.0
