,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Wesley Matthews,1.1,4.1,1.5,2.0,0.6,4.2,2.7,1.3,0.9,0.4,0.6
Payton Pritchard,5.4,12.9,0.7,1.1,3.3,14.7,6.4,5.9,0.9,0.2,1.2
Oshae Brissett,2.3,5.3,1.5,2.5,0.8,6.9,6.2,1.0,1.0,0.1,0.5
Lamar Stevens,2.2,4.0,0.5,0.6,0.3,5.1,2.9,0.9,0.8,0.6,0.8
Luke Kornet,4.3,6.3,1.8,2.0,0.0,10.4,7.3,1.7,0.9,1.9,0.8
Neemias Queta,4.0,7.1,1.8,2.5,0.0,9.8,9.7,1.1,0.9,0.6,0.8
Royce O'Neale,2.6,6.8,0.3,0.5,2.0,7.5,4.6,3.1,0.8,0.6,1.1
Dennis Smith Jr.,2.9,7.0,1.1,1.3,0.5,7.5,3.3,4.2,1.0,0.2,1.0
Dorian Finney-Smith,3.6,8.4,0.2,0.3,2.3,9.9,4.9,1.3,0.7,0.5,0.8
Lonnie Walker IV,4.6,9.7,1.5,2.0,2.3,13.1,2.5,1.5,0.6,0.4,1.3
Trendon Watford,2.5,4.7,0.9,1.1,0.3,6.2,3.2,1.7,0.5,0.3,0.9
Jalen Wilson,1.5,2.9,1.4,1.4,0.2,4.5,2.2,0.8,0.3,0.1,0.3
Brandon Miller,5.4,12.8,1.5,1.9,2.1,14.4,3.8,2.2,0.6,0.5,1.6
JT Thor,1.3,3.6,0.1,0.2,0.5,3.2,2.7,0.4,0.2,0.4,0.2
Bryce McGowens,1.8,4.2,0.9,1.2,0.8,5.2,1.9,1.0,0.3,0.1,0.5
Ish Smith,1.8,3.8,0.1,0.1,0.1,3.8,1.7,3.1,0.3,0.1,1.3
Nick Smith Jr.,2.7,6.2,0.2,0.2,1.5,7.0,1.4,0.9,0.2,0.4,0.8
Ayo Dosunmu,6.3,13.7,1.6,2.1,1.9,16.1,5.1,3.9,1.5,0.7,1.6
Patrick Williams,7.3,16.3,2.4,3.2,2.6,19.7,7.8,2.8,1.9,1.6,2.6
Jevon Carter,3.9,11.0,0.2,0.3,2.4,10.4,1.5,2.5,1.1,0.6,1.1
Dalen Terry,1.7,4.0,1.0,1.2,0.5,4.8,3.4,2.6,0.4,0.6,1.0
Isaac Okoro,3.0,6.0,1.6,2.2,0.9,8.5,3.4,2.0,0.9,0.4,0.9
Georges Niang,3.2,7.7,0.4,0.5,1.7,8.5,3.8,1.2,0.3,0.2,0.9
Craig Porter Jr.,3.0,5.9,1.0,1.5,0.3,7.2,2.7,3.2,0.7,0.5,1.1
Dean Wade,1.7,4.3,0.4,0.5,1.3,5.2,4.6,0.9,0.8,0.3,0.5
Sam Merrill,2.4,5.8,0.3,0.3,2.1,7.3,1.6,1.3,0.2,0.0,0.3
Tristan Thompson,1.6,2.5,0.4,1.2,0.0,3.7,3.8,1.1,0.2,0.3,0.6
Grant Williams,5.8,13.9,1.5,2.3,3.5,16.7,7.1,3.1,0.9,1.3,2.1
Jaden Hardy,5.8,15.1,1.5,2.2,2.7,15.8,4.0,3.2,0.7,0.1,1.5
Josh Green,5.1,11.3,1.1,1.7,2.0,13.2,5.7,4.8,1.7,0.4,1.8
Derrick Jones Jr.,7.5,15.7,2.8,3.7,2.8,20.6,7.7,2.0,1.9,1.8,1.8
Dwight Powell,3.3,4.6,3.0,3.9,0.1,9.5,7.3,3.1,1.0,0.7,1.0
Seth Curry,3.2,8.6,1.0,1.1,1.9,9.3,3.2,1.8,1.1,0.2,0.9
A.J. Lawson,3.5,7.4,1.2,1.8,1.2,9.5,2.9,1.1,1.1,0.1,1.0
Christian Braun,3.0,6.4,1.3,1.8,0.7,8.0,3.5,1.7,0.4,0.4,0.7
Zeke Nnaji,1.2,2.5,0.8,1.2,0.2,3.3,2.2,0.5,0.2,0.6,0.6
Justin Holiday,1.5,3.0,0.0,0.0,1.0,4.0,1.3,1.1,0.6,0.0,0.2
Peyton Watson,2.6,5.4,1.0,1.5,0.7,7.0,2.7,1.0,0.5,0.8,0.5
Reggie Jackson,4.7,10.2,0.9,1.3,1.4,11.9,2.1,4.4,0.6,0.2,1.4
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.6,1.0,0.2,0.6,1.2
Marcus Sasser,2.6,5.6,0.6,0.7,1.1,7.0,1.6,2.4,0.6,0.2,0.8
Jaden Ivey,4.6,10.1,3.0,4.0,1.2,13.3,3.6,3.3,0.8,0.6,2.2
Isaiah Livers,1.8,5.1,0.5,0.8,1.0,5.0,2.2,1.1,0.6,0.1,0.7
Kevin Knox II,3.2,6.6,0.6,0.7,1.2,8.2,2.3,0.7,0.4,0.2,0.6
James Wiseman,2.7,4.0,0.8,1.3,0.0,6.3,4.2,0.7,0.1,0.7,0.9
Killian Hayes,3.0,7.6,0.9,1.4,0.6,7.6,2.9,4.6,1.0,0.5,1.3
Stanley Umude,1.3,2.9,1.4,1.5,0.9,5.0,1.9,0.5,0.3,0.3,0.7
Moses Moody,6.3,13.1,2.6,3.4,2.2,17.5,6.2,1.6,1.4,0.6,1.4
