,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Garrison Mathews,1.0,2.1,0.0,0.1,0.9,2.8,1.1,0.4,0.3,0.1,0.3
Payton Pritchard,2.8,6.6,0.5,0.7,1.7,7.7,3.2,3.0,0.4,0.1,0.6
Luke Kornet,2.1,3.0,0.8,1.0,0.0,5.0,3.5,0.8,0.4,0.9,0.4
Oshae Brissett,1.3,2.9,1.0,1.5,0.4,3.9,3.0,0.5,0.5,0.0,0.2
Neemias Queta,2.0,3.6,0.9,1.1,0.0,4.9,4.7,0.5,0.4,0.4,0.4
Sam Hauser,3.0,6.6,0.3,0.4,2.4,8.6,3.6,0.9,0.5,0.3,0.5
Dorian Finney-Smith,3.5,8.2,0.2,0.3,2.3,9.6,4.7,1.3,0.7,0.5,0.8
Dennis Smith Jr.,2.8,6.7,1.0,1.3,0.5,7.2,3.3,4.2,1.0,0.2,1.0
Spencer Dinwiddie,4.3,11.1,2.9,3.7,1.9,13.4,3.8,6.2,0.8,0.2,1.5
Royce O'Neale,2.5,6.6,0.3,0.5,1.9,7.3,4.6,3.1,0.8,0.6,1.1
Lonnie Walker IV,4.8,9.8,1.4,1.9,2.4,13.4,2.5,1.5,0.6,0.4,1.3
Trendon Watford,2.6,4.7,0.9,1.1,0.3,6.3,3.2,1.7,0.5,0.3,0.9
Ish Smith,1.8,3.8,0.1,0.1,0.1,3.7,1.7,3.2,0.3,0.1,1.3
JT Thor,1.3,3.7,0.1,0.2,0.5,3.3,2.7,0.4,0.2,0.4,0.2
Bryce McGowens,1.9,4.3,0.9,1.2,0.8,5.4,1.8,1.0,0.3,0.1,0.6
Nick Smith Jr.,2.8,6.3,0.1,0.2,1.5,7.1,1.6,1.1,0.1,0.3,0.8
Brandon Miller,5.2,12.6,1.5,1.9,2.0,13.9,3.7,2.2,0.7,0.5,1.6
Jevon Carter,2.0,5.5,0.1,0.1,1.2,5.2,0.7,1.2,0.6,0.3,0.5
Andre Drummond,3.0,5.6,1.4,2.6,0.0,7.5,8.4,0.6,1.2,0.6,1.2
Patrick Williams,3.7,8.2,1.2,1.5,1.3,9.8,3.9,1.6,0.9,0.8,1.3
Ayo Dosunmu,3.1,6.8,0.8,1.0,1.0,8.0,2.5,1.9,0.7,0.3,0.8
Dalen Terry,0.8,2.1,0.5,0.6,0.2,2.4,1.7,1.2,0.2,0.3,0.5
Georges Niang,3.2,7.7,0.5,0.6,1.7,8.5,3.8,1.2,0.3,0.2,0.8
Sam Merrill,2.4,6.1,0.3,0.3,2.1,7.2,1.9,1.3,0.3,0.0,0.3
Isaac Okoro,3.1,6.2,1.6,2.2,0.9,8.6,3.4,2.0,0.8,0.4,0.9
